Strain	Accession Number	Originating Lab.	Submitting Lab.
A/Novosibirsk/89/2019	EPI1491056	center_of_hygiene_and_epidemiology_in_novosibirsk_region	who_national_influenza_centre_russian_federation
A/NewYork/WC-LVD-14-003/2014	EPI546303	?	other_database_import
A/Sweden/86/2018	EPI1342479	?	public_health_agency_of_sweden
A/England/196/2009	EPI186488	?	health_protection_agency_(hpa)
A/Mali/25/2016	EPI828198	nic_lab_cvd_mali	centers_for_disease_control_and_prevention
A/Wisconsin/338/2017	EPI1130432	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Ukraine/7276/2016	EPI773531	ministry_of_health_of_ukraine	crick_worldwide_influenza_centre
A/PaysDeLoire/325/2020	EPI1695754	institut_pasteur	institut_pasteur
A/HongKong/H090-746-V1/2009	EPI326592	?	other_database_import
A/NorthernIreland/94940033/2009	EPI403809	?	other_database_import
A/Bulgaria/837/2014	EPI531218	national_centre_of_infectious_and_	national_institute_for_medical_research
A/Antsirabe/2784/2018	EPI1271816	institut_pasteur_de_madagascar	crick_worldwide_influenza_centre
A/Missouri/12/2018	EPI1195599	missouri_department._of_health_&_senior_services	centers_for_disease_control_and_prevention
A/Dijon/181/2015	EPI574696	institut_pasteur	institut_pasteur
A/Yucatan/2093/2009	EPI516774	centro_de_investigaciones_regionales_dr._hideyo_noguchi	universidad_autonoma_de_yucatan
A/Guangdong/2221/2009	EPI250061	?	other_database_import
A/Shanghai-Huangpu/SWL11287/2018-egg	EPI1339497	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Alaska/33/2013	EPI509472	alaska_state_virology_lab	centers_for_disease_control_and_prevention
A/Sapporo/60/2014	EPI515071	sapporo_city_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Singapore/TT0252/2017	EPI1023109	ministry_of_health,_singapore	ministry_of_health,_singapore
A/Milan/126/2018	EPI1241807	university_of_milan	istituto_superiore_di_sanit?_(iss)
A/RhodeIsland/11621/2020	EPI1730040	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Guatemala/387/2018	EPI1274203	laboratorio_nacional_de_salud_guatemala	centers_for_disease_control_and_prevention
A/Bahrain/238/2019	EPI1547640	ministry_of_health_bahrain	centers_for_disease_control_and_prevention
A/Victoria/255/2019	EPI1618339	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Perugia/45/2017	EPI1222960	istituto_superiore_di_sanità_	crick_worldwide_influenza_centre
A/Kanagawa/IC1904/2019	EPI1656029	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/England/420/2016	EPI877428	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Iraq/17-BAF/2011	EPI301913	national_influenza_centre_of_iraq	national_institute_for_medical_research
A/Hunan-Daxiang/SWL1421/2009	EPI257299	?	who_chinese_national_influenza_center
A/Montana/61/2019	EPI1652509	montana_laboratory_services_bureau	centers_for_disease_control_and_prevention
A/Singapore/ON1811/2009	EPI380130	?	other_database_import
A/Lao/F0297/2017	EPI1009586	national_center_for_laboratory_and_epidemiology	national_institute_of_infectious_diseases_(niid)
A/Washington/417/2019	EPI1565946	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Sydney/19/2016	EPI813266	westmead_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Karaganda/382/2019	EPI1506865	national_reference_laboratory	crick_worldwide_influenza_centre
A/Timis/134705/2013	EPI460724	cantacuzino_institute	national_institute_for_medical_research
A/Michigan/27/2018	EPI1186151	michigan_department_of_community_health	centers_for_disease_control_and_prevention
A/Georgia/32/2016	EPI791696	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/Brisbane/146/2019	EPI1647885	queensland_health_forensic_and_scientific_services_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Indonesia/1366_S56_L001/2013	EPI1027902	universitas_udayana	university_college_london
A/Singapore/DMS1006/2009	EPI634642	?	other_database_import
A/StPetersburg/RII-2988S/2020	EPI1720480	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	who_national_influenza_centre_russian_federation
A/Kazakhstan/20/2018	EPI1408353	national_reference_laboratory	centers_for_disease_control_and_prevention
A/AthensGR/584/2011	EPI342563	hellenic_pasteur_institute	hellenic_pasteur_institute
A/Kazakhstan/4764/2016	EPI823591	national_reference_laboratory	crick_worldwide_influenza_centre
A/JiangsuNanchang/SWL1100/2013	EPI684617	?	other_database_import
A/Singapore/ON2168/2009	EPI380381	?	other_database_import
A/Taiwan/4611/2011	EPI349601	?	other_database_import
A/Lorraine/31/2019	EPI1354937	?	institut_pasteur
A/Ulaanbaatar/3708/2015	EPI734119	national_center_for_communicable_diseases	national_institute_of_infectious_diseases_(niid)
A/Portugal/46/2009	EPI500721	hospital_de_curry_cabral	instituto_nacional_de_saude
A/NorthCarolina/49/2009	EPI233201	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Oman/5418/2017	EPI1088748	central_public_health_laboratory,_ministry_of_health	centers_for_disease_control_and_prevention
A/Slovenia/1413/2015	EPI630655	laboratory_for_virology,_national_institute_of_public_health	crick_worldwide_influenza_centre
A/Mississippi/4/2009	EPI231391	mississippi_public_health_laboratory	centers_for_disease_control_and_prevention
A/Honduras/7962/2016	EPI814811	laboratorio_nacional_de_virologia	centers_for_disease_control_and_prevention
A/Maevatanana/4189/2015	EPI700771	institut_pasteur_de_madagascar	centers_for_disease_control_and_prevention
A/Japan/9878/2019	EPI1654186	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Bangladesh/3053/2018	EPI1332846	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_a
A/Lao/F1879/2017	EPI1091653	national_center_for_laboratory_and_epidemiology	national_institute_of_infectious_diseases_(niid)
A/Pensacola/INS107/2009	EPI252588	?	other_database_import
A/Florida/103/2018	EPI1324182	florida_department_of_health_tampa	centers_for_disease_control_and_prevention
A/Bangladesh/145/2018	EPI1329777	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_an
A/California/NHRC_BRD80489N/2016	EPI824002	?	other_database_import
A/Suriname/82/2011	EPI302120	caribbean_epidemiology_center	centers_for_disease_control_and_prevention
A/Lao/F4207/2016	EPI1027140	national_center_for_laboratory_and_epidemiology	national_institute_of_infectious_diseases_(niid)
A/Parma/7/2019	EPI1356215	istituto_superiore_di_sanità_	crick_worldwide_influenza_centre
A/RhodeIsland/14/2020	EPI1714247	rhode_island_department_of_health	centers_for_disease_control_and_prevention
A/Moscow/CRIE-ZNF/2009	EPI265990	?	other_database_import
A/StPetersburg/17/2013	EPI445615	who_national_influenza_centre_russian_federation	national_institute_for_medical_research
A/Ghana/1901/2017	EPI1060796	university_of_ghana	crick_worldwide_influenza_centre
A/Taiwan/71433/2009	EPI382430	?	other_database_import
A/Belgium/G683/2014	EPI555154	scientific_institute_of_public_health	national_institute_for_medical_research
A/Newcastle/88/2019	EPI1590275	john_hunter_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Perth/1002/2018	EPI1283168	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Nagano/3551/2015	EPI699897	nagano_environmental_conservation_research_institute	national_institute_of_infectious_diseases_(niid)
A/Washington/282/2019	EPI1558920	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/StPetersburg/RII-1702S/2020	EPI1720016	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	who_national_influenza_centre_russian_federatio
A/Maryland/39/2019	EPI1636950	maryland_department_of_health_and_mental_hygiene	centers_for_disease_control_and_prevention
A/Kenya/21/2009	EPI284139	?	other_database_import
A/Valencia/10_1374/2020	EPI1701254	fisabio___public_health,_generalitat_valenciana	center_for_public_health_research_(csisp)
A/Quebec/RV4233/2018	EPI1335481	?	public_health_agency_of_canada_(phac)
A/Japan/NHRC0003/2009	EPI274995	?	other_database_import
A/Fukuoka-C/23/2017	EPI1155171	fukuoka_city_institute_for_hygiene_and_the_environment	national_institute_of_infectious_diseases_(niid)
A/Victoria/518/2011	EPI331643	monash_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/Victoria/2108/2017	EPI1132218	alfred_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Sydney/785/2019	EPI1484321	childrens_hospital_westmead	who_collaborating_centre_for_reference_and_research_on_influenza
A/England/755/2018	EPI1369603	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Roraima/143204-IEC/2017	EPI912097	national_influenza_center	centers_for_disease_control_and_prevention
A/NorthCarolina/11/2014	EPI533999	north_carolina_state_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Guangdong/4220/2010	EPI354504	?	other_database_import
A/Delhi/1966/2012	EPI537427	all_india_institute_of_medical_sciences	centers_for_disease_control_and_prevention
A/Lisbon/59/2009	EPI272921	?	other_database_import
A/Lao/3417/2018	EPI1507752	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/Bermuda/2113/2016	EPI792235	caribbean_epidemiology_center	centers_for_disease_control_and_prevention
A/Wisconsin/629-D02073/2009	EPI249366	?	other_database_import
A/Michigan/200/2018	EPI1468515	university_of_michigan_sph_epid	centers_for_disease_control_and_prevention
A/Mali/37/2016	EPI832603	nic_lab_cvd_mali	centers_for_disease_control_and_prevention
A/RiodeJaneiro/378/2014	EPI1032055	laboratório_central_de_saúde_pública_(lacen_rj)	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles
A/EspiritoSanto/353/2016	EPI1031843	lacen/es___laboratório_central_de_saúde_pública_do_espírito_santo	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory
A/Macedonia/1056/2019	EPI1543034	institute_of_public_health_(macedonia)	crick_worldwide_influenza_centre
A/Cyprus/F22/2014	EPI516952	nicosia_general_hospital	national_institute_for_medical_research
A/England/9/2009	EPI692890	?	other_database_import
A/Cyprus/919/2019	EPI1478270	nicosia_general_hospital	crick_worldwide_influenza_centre
A/Afghanistan/8291/2018	EPI1382405	national_public_health_laboratory	centers_for_disease_control_and_prevention
A/Moscow/2/2016	EPI742227	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/Cameroon/LEID/03/11/1573/2011	EPI346688	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/Florence/5/2014	EPI531222	istituto_superiore_di_sanità	national_institute_for_medical_research
A/Utah/30/2016	EPI790512	utah_department_of_health	other_database_import
A/SanDiego/INS75/2009	EPI247739	?	other_database_import
A/Victoria/2184/2019	EPI1665074	alfred_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Kenya/146/2018	EPI1345456	cdc_kenya	centers_for_disease_control_and_prevention
A/Antsirabe/5673/2017	EPI1188248	institut_pasteur_de_madagascar	crick_worldwide_influenza_centre
A/Indiana/9/2018	EPI1195716	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Bhutan/648/2019	EPI1507275	royal_centre_for_disease_control	centers_for_disease_control_and_prevention
A/Jordan/10682/2019	EPI1582861	laboratory_directorate	crick_worldwide_influenza_centre
A/HongKong/2394/2016	EPI859188	government_virus_unit	crick_worldwide_influenza_centre
A/Singapore/EN0029/2017	EPI952475	ministry_of_health,_singapore	ministry_of_health,_singapore
A/NewfoundlandAndLabrador/RV2513/2009	EPI303932	?	other_database_import
A/Perth/1005/2018	EPI1283171	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/SanDiego/INS05/2009	EPI245510	?	other_database_import
A/Georgia/7/2016	EPI733171	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/Panama/317661/2015	EPI716451	instituto_conmemorativo_gorgas_de_estudios_de_la_salud	centers_for_disease_control_and_prevention
A/Agadir/1881/2019	EPI1506713	institut_national_d'hygi&egrave;ne	crick_worldwide_influenza_centre
A/NorthernIreland/1523/2019	EPI1356267	regional_virus_laboratory,_microbiology_department,_royal_victoria_hospital	crick_worldwide_influenza_centre
A/Peru/5816/2016	EPI829974	us_namru_6	centers_for_disease_control_and_prevention
A/Moscow/CRIE-65/2016	EPI824825	?	central_research_institute_for_epidemiology
A/Illinois/11535/2020	EPI1729404	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
